Id,Label
Morgan Freeman,Morgan Freeman
William Sadler,William Sadler
Mark Rolston,Mark Rolston
Jeffrey DeMunn,Jeffrey DeMunn
Brian Libby,Brian Libby
Alfonso Freeman,Alfonso Freeman
Frank Medrano,Frank Medrano
Mack Miles,Mack Miles
Alonzo F. Jones,Alonzo F. Jones
Al Pacino,Al Pacino
James Caan,James Caan
Robert Duvall,Robert Duvall
Diane Keaton,Diane Keaton
Abe Vigoda,Abe Vigoda
Talia Shire,Talia Shire
Gianni Russo,Gianni Russo
John Cazale,John Cazale
Rudy Bond,Rudy Bond
Morgana King,Morgana King
Richard Bright,Richard Bright
Tere Livrano,Tere Livrano
Julie Gregg,Julie Gregg
Italia Coppola,Italia Coppola
Roman Coppola,Roman Coppola
Sofia Coppola,Sofia Coppola
Ron Gilbert,Ron Gilbert
Joe Lo Grippo,Joe Lo Grippo
Tony Lip,Tony Lip
Joseph Medaglia,Joseph Medaglia
Tom Rosqui,Tom Rosqui
Frank Sivero,Frank Sivero
Filomena Spagnuolo,Filomena Spagnuolo
Joe Spinell,Joe Spinell
Nick Vallelonga,Nick Vallelonga
Robert De Niro,Robert De Niro
Harry Dean Stanton,Harry Dean Stanton
Danny Aiello,Danny Aiello
Roger Corman,Roger Corman
Alan Lee,Alan Lee
Arthur Tovey,Arthur Tovey
Christian Bale,Christian Bale
Michael Caine,Michael Caine
Gary Oldman,Gary Oldman
Cillian Murphy,Cillian Murphy
Paul Bateman,Paul Bateman
Luke Burnyeat,Luke Burnyeat
Chris Hastings,Chris Hastings
Joseph Oliveira,Joseph Oliveira
Martin Balsam,Martin Balsam
Henry Fonda,Henry Fonda
Joachim Paul Assböck,Joachim Paul Assböck
Etl Szyc,Etl Szyc
Maciej Winkler,Maciej Winkler
Maja Ostaszewska,Maja Ostaszewska
Maciej Kowalewski,Maciej Kowalewski
Paul Rausmussen,Paul Rausmussen
Noel Appleby,Noel Appleby
Sean Astin,Sean Astin
David Aston,David Aston
John Bach,John Bach
Sean Bean,Sean Bean
Cate Blanchett,Cate Blanchett
Orlando Bloom,Orlando Bloom
Billy Boyd,Billy Boyd
Alistair Browning,Alistair Browning
Marton Csokas,Marton Csokas
Bernard Hill,Bernard Hill
Ian Holm,Ian Holm
Bruce Hopkins,Bruce Hopkins
Lawrence Makoare,Lawrence Makoare
Ian McKellen,Ian McKellen
Bret McKenzie,Bret McKenzie
Sarah McLeod,Sarah McLeod
Dominic Monaghan,Dominic Monaghan
Viggo Mortensen,Viggo Mortensen
John Noble,John Noble
Paul Norell,Paul Norell
Miranda Otto,Miranda Otto
Bruce Phillips,Bruce Phillips
Shane Rangi,Shane Rangi
John Rhys-Davies,John Rhys-Davies
Thomas Robins,Thomas Robins
Andy Serkis,Andy Serkis
Harry Sinclair,Harry Sinclair
Liv Tyler,Liv Tyler
Karl Urban,Karl Urban
Stephen Ure,Stephen Ure
Hugo Weaving,Hugo Weaving
David Wenham,David Wenham
Elijah Wood,Elijah Wood
Alan Howard,Alan Howard
Sala Baker,Sala Baker
Robert Pollock,Robert Pollock
Jed Brophy,Jed Brophy
Lee Hartley,Lee Hartley
Billy Jackson,Billy Jackson
Katie Jackson,Katie Jackson
Brad Dourif,Brad Dourif
Phil Grieve,Phil Grieve
Christopher Lee,Christopher Lee
Gino Acevedo,Gino Acevedo
Jarl Benzon,Jarl Benzon
Jørn Benzon,Jørn Benzon
Robert Catto,Robert Catto
Michael Elsworth,Michael Elsworth
Clint Elvy,Clint Elvy
Zo Hartley,Zo Hartley
Peter Jackson,Peter Jackson
Sandro Kopp,Sandro Kopp
Joseph Mika-Hunt,Joseph Mika-Hunt
Henry Mortensen,Henry Mortensen
Craig Parker,Craig Parker
Samuel L. Jackson,Samuel L. Jackson
Eric Stoltz,Eric Stoltz
Peter Greene,Peter Greene
Pui Fan Lee,Pui Fan Lee
Glendon Rich,Glendon Rich
Claudio Scarchilli,Claudio Scarchilli
Benito Stefanelli,Benito Stefanelli
Aldo Sambrell,Aldo Sambrell
Al Mulock,Al Mulock
Antonio Molino Rojo,Antonio Molino Rojo
Lorenzo Robledo,Lorenzo Robledo
Joseph Bradley,Joseph Bradley
Frank Braña,Frank Braña
Saturno Cerra,Saturno Cerra
Luigi Ciavarro,Luigi Ciavarro
Ricardo Palacios,Ricardo Palacios
Antonio Palombi,Antonio Palombi
Brent McIntyre,Brent McIntyre
Victoria Beynon-Cole,Victoria Beynon-Cole
Sam La Hood,Sam La Hood
Jono Manks,Jono Manks
Daniel Andrews,Daniel Andrews
Ben Britton,Ben Britton
Riley Brophy,Riley Brophy
Ryan Carey,Ryan Carey
Tack Daniel,Tack Daniel
Mana Hira Davis,Mana Hira Davis
Shane Dawson,Shane Dawson
Siaosi Fonua,Siaosi Fonua
Kester Fordham,Kester Fordham
Ben Fransham,Ben Fransham
Winham Hammond,Winham Hammond
Jonathan Harding,Jonathan Harding
Lani Jackson,Lani Jackson
Gareth Jensen,Gareth Jensen
Ralph Johnson,Ralph Johnson
Sam Kelly,Sam Kelly
Greg Lane,Greg Lane
Arnold Montey,Arnold Montey
Dean Morganty,Dean Morganty
Samuel E. Shore,Samuel E. Shore
Ken Stratton,Ken Stratton
John Turner,John Turner
Tim Wong,Tim Wong
Robert Young,Robert Young
Edward Norton,Edward Norton
Brad Pitt,Brad Pitt
Richmond Arquette,Richmond Arquette
Sydney 'Big Dawg' Colston,Sydney 'Big Dawg' Colston
Rachel Singer,Rachel Singer
Ezra Buzzington,Ezra Buzzington
Bob Stephenson,Bob Stephenson
Evan Mirand,Evan Mirand
Pat McNamara,Pat McNamara
Phil Hawn,Phil Hawn
Brian Tochi,Brian Tochi
Tom Hanks,Tom Hanks
Gary Sinise,Gary Sinise
Leonardo DiCaprio,Leonardo DiCaprio
Pete Postlethwaite,Pete Postlethwaite
Russ Fega,Russ Fega
Hélène Cardona,Hélène Cardona
Richard Alexander,Richard Alexander
Mark Hamill,Mark Hamill
Harrison Ford,Harrison Ford
Carrie Fisher,Carrie Fisher
Anthony Daniels,Anthony Daniels
David Prowse,David Prowse
Peter Mayhew,Peter Mayhew
Kenny Baker,Kenny Baker
Alec Guinness,Alec Guinness
Jack Purvis,Jack Purvis
Denis Lawson,Denis Lawson
John Ratzenberger,John Ratzenberger
Burnell Tucker,Burnell Tucker
Peter Diamond,Peter Diamond
Alan Harris,Alan Harris
Joe Johnston,Joe Johnston
James Earl Jones,James Earl Jones
Harold Weed,Harold Weed
Kevin Corrigan,Kevin Corrigan
Christopher Lloyd,Christopher Lloyd
Jack Nicholson,Jack Nicholson
Bill Gratton,Bill Gratton
Yoshio Inaba,Yoshio Inaba
Tatsuya Nakadai,Tatsuya Nakadai
Gene Borkan,Gene Borkan
Kevin Spacey,Kevin Spacey
Leland Orser,Leland Orser
Charles A. Tamburro,Charles A. Tamburro
Stuart Rudin,Stuart Rudin
Brooke Smith,Brooke Smith
Giorgio Cantarini,Giorgio Cantarini
James Stewart,James Stewart
Frank Albertson,Frank Albertson
William Edmunds,William Edmunds
Frank Hagney,Frank Hagney
Sam Flint,Sam Flint
Arthur Stuart Hull,Arthur Stuart Hull
Max Linder,Max Linder
Barry Pepper,Barry Pepper
Matt Damon,Matt Damon
João Costa Menezes,João Costa Menezes
Paul Sacks,Paul Sacks
Paul Woodadge,Paul Woodadge
Cici Leah Campbell,Cici Leah Campbell
Phil Proctor,Phil Proctor
Edward Furlong,Edward Furlong
Castulo Guerra,Castulo Guerra
Denney Pierce,Denney Pierce
Sven-Ole Thorsen,Sven-Ole Thorsen
Walter Bacon,Walter Bacon
Alfred Hitchcock,Alfred Hitchcock
Charles Chaplin,Charles Chaplin
Henry Bergman,Henry Bergman
Hank Mann,Hank Mann
Al Ernest Garcia,Al Ernest Garcia
John Rand,John Rand
Wyn Ritchie Evans,Wyn Ritchie Evans
Brian Smyj,Brian Smyj
