Source,Target,Weight,Label
Morgan Freeman,William Sadler,1,1
Morgan Freeman,Mark Rolston,1,1
Morgan Freeman,Jeffrey DeMunn,1,1
Morgan Freeman,Brian Libby,1,1
Morgan Freeman,Alfonso Freeman,2,2
Morgan Freeman,Frank Medrano,1,1
Morgan Freeman,Mack Miles,1,1
Morgan Freeman,Alonzo F. Jones,1,1
Morgan Freeman,Christian Bale,1,1
Morgan Freeman,Michael Caine,1,1
Morgan Freeman,Gary Oldman,1,1
Morgan Freeman,Cillian Murphy,1,1
Morgan Freeman,Paul Bateman,1,1
Morgan Freeman,Luke Burnyeat,1,1
Morgan Freeman,Chris Hastings,1,1
Morgan Freeman,Joseph Oliveira,1,1
Morgan Freeman,Pui Fan Lee,1,1
Morgan Freeman,Brad Pitt,1,1
Morgan Freeman,Richmond Arquette,1,1
Morgan Freeman,Bob Stephenson,1,1
Morgan Freeman,Evan Mirand,1,1
Morgan Freeman,Gene Borkan,1,1
Morgan Freeman,Kevin Spacey,1,1
Morgan Freeman,Leland Orser,1,1
Morgan Freeman,Charles A. Tamburro,1,1
William Sadler,Mark Rolston,1,1
William Sadler,Jeffrey DeMunn,2,2
William Sadler,Brian Libby,2,2
William Sadler,Alfonso Freeman,1,1
William Sadler,Frank Medrano,1,1
William Sadler,Mack Miles,2,2
William Sadler,Alonzo F. Jones,1,1
William Sadler,Harry Dean Stanton,1,1
William Sadler,Arnold Montey,1,1
William Sadler,Rachel Singer,1,1
William Sadler,Phil Hawn,1,1
William Sadler,Tom Hanks,1,1
William Sadler,Gary Sinise,1,1
William Sadler,Bill Gratton,1,1
William Sadler,Barry Pepper,1,1
Mark Rolston,Jeffrey DeMunn,1,1
Mark Rolston,Brian Libby,1,1
Mark Rolston,Alfonso Freeman,1,1
Mark Rolston,Frank Medrano,1,1
Mark Rolston,Mack Miles,1,1
Mark Rolston,Alonzo F. Jones,1,1
Mark Rolston,Joseph Oliveira,1,1
Mark Rolston,Arnold Montey,1,1
Mark Rolston,Leonardo DiCaprio,1,1
Mark Rolston,Kevin Corrigan,1,1
Mark Rolston,Jack Nicholson,1,1
Mark Rolston,Matt Damon,1,1
Mark Rolston,Brian Smyj,1,1
Jeffrey DeMunn,Brian Libby,2,2
Jeffrey DeMunn,Alfonso Freeman,1,1
Jeffrey DeMunn,Frank Medrano,1,1
Jeffrey DeMunn,Mack Miles,2,2
Jeffrey DeMunn,Alonzo F. Jones,1,1
Jeffrey DeMunn,Harry Dean Stanton,1,1
Jeffrey DeMunn,Arnold Montey,1,1
Jeffrey DeMunn,Rachel Singer,1,1
Jeffrey DeMunn,Phil Hawn,1,1
Jeffrey DeMunn,Tom Hanks,1,1
Jeffrey DeMunn,Gary Sinise,1,1
Jeffrey DeMunn,Bill Gratton,1,1
Jeffrey DeMunn,Barry Pepper,1,1
Brian Libby,Alfonso Freeman,1,1
Brian Libby,Frank Medrano,1,1
Brian Libby,Mack Miles,2,2
Brian Libby,Alonzo F. Jones,1,1
Brian Libby,Harry Dean Stanton,1,1
Brian Libby,Arnold Montey,1,1
Brian Libby,Rachel Singer,1,1
Brian Libby,Phil Hawn,1,1
Brian Libby,Tom Hanks,1,1
Brian Libby,Gary Sinise,1,1
Brian Libby,Bill Gratton,1,1
Brian Libby,Barry Pepper,1,1
Alfonso Freeman,Frank Medrano,1,1
Alfonso Freeman,Mack Miles,1,1
Alfonso Freeman,Alonzo F. Jones,1,1
Alfonso Freeman,Pui Fan Lee,1,1
Alfonso Freeman,Brad Pitt,1,1
Alfonso Freeman,Richmond Arquette,1,1
Alfonso Freeman,Bob Stephenson,1,1
Alfonso Freeman,Evan Mirand,1,1
Alfonso Freeman,Gene Borkan,1,1
Alfonso Freeman,Kevin Spacey,1,1
Alfonso Freeman,Leland Orser,1,1
Alfonso Freeman,Charles A. Tamburro,1,1
Frank Medrano,Mack Miles,1,1
Frank Medrano,Alonzo F. Jones,1,1
Frank Medrano,Ron Gilbert,1,1
Frank Medrano,Peter Greene,1,1
Frank Medrano,Pete Postlethwaite,1,1
Frank Medrano,Kevin Spacey,1,1
Frank Medrano,Castulo Guerra,1,1
Mack Miles,Alonzo F. Jones,1,1
Mack Miles,Harry Dean Stanton,1,1
Mack Miles,Arnold Montey,1,1
Mack Miles,Rachel Singer,1,1
Mack Miles,Phil Hawn,1,1
Mack Miles,Tom Hanks,1,1
Mack Miles,Gary Sinise,1,1
Mack Miles,Bill Gratton,1,1
Mack Miles,Barry Pepper,1,1
Alonzo F. Jones,Michael Caine,1,1
Alonzo F. Jones,Cillian Murphy,1,1
Alonzo F. Jones,Arnold Montey,1,1
Alonzo F. Jones,Leonardo DiCaprio,1,1
Alonzo F. Jones,Pete Postlethwaite,1,1
Alonzo F. Jones,Russ Fega,1,1
Alonzo F. Jones,Hélène Cardona,1,1
Al Pacino,James Caan,2,2
Al Pacino,Robert Duvall,2,2
Al Pacino,Diane Keaton,2,2
Al Pacino,Abe Vigoda,2,2
Al Pacino,Talia Shire,2,2
Al Pacino,Gianni Russo,2,2
Al Pacino,John Cazale,2,2
Al Pacino,Rudy Bond,1,1
Al Pacino,Morgana King,2,2
Al Pacino,Richard Bright,2,2
Al Pacino,Tere Livrano,2,2
Al Pacino,Julie Gregg,2,2
Al Pacino,Italia Coppola,2,2
Al Pacino,Roman Coppola,2,2
Al Pacino,Sofia Coppola,2,2
Al Pacino,Ron Gilbert,1,1
Al Pacino,Joe Lo Grippo,2,2
Al Pacino,Tony Lip,1,1
Al Pacino,Joseph Medaglia,2,2
Al Pacino,Tom Rosqui,2,2
Al Pacino,Frank Sivero,2,2
Al Pacino,Filomena Spagnuolo,2,2
Al Pacino,Joe Spinell,2,2
Al Pacino,Nick Vallelonga,1,1
Al Pacino,Robert De Niro,1,1
Al Pacino,Harry Dean Stanton,1,1
Al Pacino,Danny Aiello,1,1
Al Pacino,Roger Corman,1,1
Al Pacino,Alan Lee,1,1
Al Pacino,Arthur Tovey,1,1
James Caan,Robert Duvall,2,2
James Caan,Diane Keaton,2,2
James Caan,Abe Vigoda,2,2
James Caan,Talia Shire,2,2
James Caan,Gianni Russo,2,2
James Caan,John Cazale,2,2
James Caan,Rudy Bond,1,1
James Caan,Morgana King,2,2
James Caan,Richard Bright,2,2
James Caan,Tere Livrano,2,2
James Caan,Julie Gregg,2,2
James Caan,Italia Coppola,2,2
James Caan,Roman Coppola,2,2
James Caan,Sofia Coppola,2,2
James Caan,Ron Gilbert,1,1
James Caan,Joe Lo Grippo,2,2
James Caan,Tony Lip,1,1
James Caan,Joseph Medaglia,2,2
James Caan,Tom Rosqui,2,2
James Caan,Frank Sivero,2,2
James Caan,Filomena Spagnuolo,2,2
James Caan,Joe Spinell,2,2
James Caan,Nick Vallelonga,1,1
James Caan,Robert De Niro,1,1
James Caan,Harry Dean Stanton,1,1
James Caan,Danny Aiello,1,1
James Caan,Roger Corman,1,1
James Caan,Alan Lee,1,1
James Caan,Arthur Tovey,1,1
Robert Duvall,Diane Keaton,2,2
Robert Duvall,Abe Vigoda,2,2
Robert Duvall,Talia Shire,2,2
Robert Duvall,Gianni Russo,2,2
Robert Duvall,John Cazale,2,2
Robert Duvall,Rudy Bond,1,1
Robert Duvall,Morgana King,2,2
Robert Duvall,Richard Bright,2,2
Robert Duvall,Tere Livrano,2,2
Robert Duvall,Julie Gregg,2,2
Robert Duvall,Italia Coppola,2,2
Robert Duvall,Roman Coppola,2,2
Robert Duvall,Sofia Coppola,2,2
Robert Duvall,Ron Gilbert,1,1
Robert Duvall,Joe Lo Grippo,2,2
Robert Duvall,Tony Lip,1,1
Robert Duvall,Joseph Medaglia,2,2
Robert Duvall,Tom Rosqui,2,2
Robert Duvall,Frank Sivero,2,2
Robert Duvall,Filomena Spagnuolo,2,2
Robert Duvall,Joe Spinell,2,2
Robert Duvall,Nick Vallelonga,1,1
Robert Duvall,Robert De Niro,1,1
Robert Duvall,Harry Dean Stanton,1,1
Robert Duvall,Danny Aiello,1,1
Robert Duvall,Roger Corman,1,1
Robert Duvall,Alan Lee,1,1
Robert Duvall,Arthur Tovey,1,1
Diane Keaton,Abe Vigoda,2,2
Diane Keaton,Talia Shire,2,2
Diane Keaton,Gianni Russo,2,2
Diane Keaton,John Cazale,2,2
Diane Keaton,Rudy Bond,1,1
Diane Keaton,Morgana King,2,2
Diane Keaton,Richard Bright,2,2
Diane Keaton,Tere Livrano,2,2
Diane Keaton,Julie Gregg,2,2
Diane Keaton,Italia Coppola,2,2
Diane Keaton,Roman Coppola,2,2
Diane Keaton,Sofia Coppola,2,2
Diane Keaton,Ron Gilbert,1,1
Diane Keaton,Joe Lo Grippo,2,2
Diane Keaton,Tony Lip,1,1
Diane Keaton,Joseph Medaglia,2,2
Diane Keaton,Tom Rosqui,2,2
Diane Keaton,Frank Sivero,2,2
Diane Keaton,Filomena Spagnuolo,2,2
Diane Keaton,Joe Spinell,2,2
Diane Keaton,Nick Vallelonga,1,1
Diane Keaton,Robert De Niro,1,1
Diane Keaton,Harry Dean Stanton,1,1
Diane Keaton,Danny Aiello,1,1
Diane Keaton,Roger Corman,1,1
Diane Keaton,Alan Lee,1,1
Diane Keaton,Arthur Tovey,1,1
Abe Vigoda,Talia Shire,2,2
Abe Vigoda,Gianni Russo,2,2
Abe Vigoda,John Cazale,2,2
Abe Vigoda,Rudy Bond,1,1
Abe Vigoda,Morgana King,2,2
Abe Vigoda,Richard Bright,2,2
Abe Vigoda,Tere Livrano,2,2
Abe Vigoda,Julie Gregg,2,2
Abe Vigoda,Italia Coppola,2,2
Abe Vigoda,Roman Coppola,2,2
Abe Vigoda,Sofia Coppola,2,2
Abe Vigoda,Ron Gilbert,1,1
Abe Vigoda,Joe Lo Grippo,2,2
Abe Vigoda,Tony Lip,1,1
Abe Vigoda,Joseph Medaglia,2,2
Abe Vigoda,Tom Rosqui,2,2
Abe Vigoda,Frank Sivero,2,2
Abe Vigoda,Filomena Spagnuolo,2,2
Abe Vigoda,Joe Spinell,2,2
Abe Vigoda,Nick Vallelonga,1,1
Abe Vigoda,Robert De Niro,1,1
Abe Vigoda,Harry Dean Stanton,1,1
Abe Vigoda,Danny Aiello,1,1
Abe Vigoda,Roger Corman,1,1
Abe Vigoda,Alan Lee,1,1
Abe Vigoda,Arthur Tovey,1,1
Talia Shire,Gianni Russo,2,2
Talia Shire,John Cazale,2,2
Talia Shire,Rudy Bond,1,1
Talia Shire,Morgana King,2,2
Talia Shire,Richard Bright,2,2
Talia Shire,Tere Livrano,2,2
Talia Shire,Julie Gregg,2,2
Talia Shire,Italia Coppola,2,2
Talia Shire,Roman Coppola,2,2
Talia Shire,Sofia Coppola,2,2
Talia Shire,Ron Gilbert,1,1
Talia Shire,Joe Lo Grippo,2,2
Talia Shire,Tony Lip,1,1
Talia Shire,Joseph Medaglia,2,2
Talia Shire,Tom Rosqui,2,2
Talia Shire,Frank Sivero,2,2
Talia Shire,Filomena Spagnuolo,2,2
Talia Shire,Joe Spinell,2,2
Talia Shire,Nick Vallelonga,1,1
Talia Shire,Robert De Niro,1,1
Talia Shire,Harry Dean Stanton,1,1
Talia Shire,Danny Aiello,1,1
Talia Shire,Roger Corman,1,1
Talia Shire,Alan Lee,1,1
Talia Shire,Arthur Tovey,1,1
Gianni Russo,John Cazale,2,2
Gianni Russo,Rudy Bond,1,1
Gianni Russo,Morgana King,2,2
Gianni Russo,Richard Bright,2,2
Gianni Russo,Tere Livrano,2,2
Gianni Russo,Julie Gregg,2,2
Gianni Russo,Italia Coppola,2,2
Gianni Russo,Roman Coppola,2,2
Gianni Russo,Sofia Coppola,2,2
Gianni Russo,Ron Gilbert,1,1
Gianni Russo,Joe Lo Grippo,2,2
Gianni Russo,Tony Lip,1,1
Gianni Russo,Joseph Medaglia,2,2
Gianni Russo,Tom Rosqui,2,2
Gianni Russo,Frank Sivero,2,2
Gianni Russo,Filomena Spagnuolo,2,2
Gianni Russo,Joe Spinell,2,2
Gianni Russo,Nick Vallelonga,1,1
Gianni Russo,Robert De Niro,1,1
Gianni Russo,Harry Dean Stanton,1,1
Gianni Russo,Danny Aiello,1,1
Gianni Russo,Roger Corman,1,1
Gianni Russo,Alan Lee,1,1
Gianni Russo,Arthur Tovey,1,1
John Cazale,Rudy Bond,1,1
John Cazale,Morgana King,2,2
John Cazale,Richard Bright,2,2
John Cazale,Tere Livrano,2,2
John Cazale,Julie Gregg,2,2
John Cazale,Italia Coppola,2,2
John Cazale,Roman Coppola,2,2
John Cazale,Sofia Coppola,2,2
John Cazale,Ron Gilbert,1,1
John Cazale,Joe Lo Grippo,2,2
John Cazale,Tony Lip,1,1
John Cazale,Joseph Medaglia,2,2
John Cazale,Tom Rosqui,2,2
John Cazale,Frank Sivero,2,2
John Cazale,Filomena Spagnuolo,2,2
John Cazale,Joe Spinell,2,2
John Cazale,Nick Vallelonga,1,1
John Cazale,Robert De Niro,1,1
John Cazale,Harry Dean Stanton,1,1
John Cazale,Danny Aiello,1,1
John Cazale,Roger Corman,1,1
John Cazale,Alan Lee,1,1
John Cazale,Arthur Tovey,1,1
Rudy Bond,Morgana King,1,1
Rudy Bond,Richard Bright,1,1
Rudy Bond,Tere Livrano,1,1
Rudy Bond,Julie Gregg,1,1
Rudy Bond,Italia Coppola,1,1
Rudy Bond,Roman Coppola,1,1
Rudy Bond,Sofia Coppola,1,1
Rudy Bond,Ron Gilbert,1,1
Rudy Bond,Joe Lo Grippo,1,1
Rudy Bond,Tony Lip,1,1
Rudy Bond,Joseph Medaglia,1,1
Rudy Bond,Tom Rosqui,1,1
Rudy Bond,Frank Sivero,1,1
Rudy Bond,Filomena Spagnuolo,1,1
Rudy Bond,Joe Spinell,1,1
Rudy Bond,Nick Vallelonga,1,1
Rudy Bond,Martin Balsam,1,1
Rudy Bond,Henry Fonda,1,1
Morgana King,Richard Bright,2,2
Morgana King,Tere Livrano,2,2
Morgana King,Julie Gregg,2,2
Morgana King,Italia Coppola,2,2
Morgana King,Roman Coppola,2,2
Morgana King,Sofia Coppola,2,2
Morgana King,Ron Gilbert,1,1
Morgana King,Joe Lo Grippo,2,2
Morgana King,Tony Lip,1,1
Morgana King,Joseph Medaglia,2,2
Morgana King,Tom Rosqui,2,2
Morgana King,Frank Sivero,2,2
Morgana King,Filomena Spagnuolo,2,2
Morgana King,Joe Spinell,2,2
Morgana King,Nick Vallelonga,1,1
Morgana King,Robert De Niro,1,1
Morgana King,Harry Dean Stanton,1,1
Morgana King,Danny Aiello,1,1
Morgana King,Roger Corman,1,1
Morgana King,Alan Lee,1,1
Morgana King,Arthur Tovey,1,1
Richard Bright,Tere Livrano,2,2
Richard Bright,Julie Gregg,2,2
Richard Bright,Italia Coppola,2,2
Richard Bright,Roman Coppola,2,2
Richard Bright,Sofia Coppola,2,2
Richard Bright,Ron Gilbert,1,1
Richard Bright,Joe Lo Grippo,2,2
Richard Bright,Tony Lip,1,1
Richard Bright,Joseph Medaglia,2,2
Richard Bright,Tom Rosqui,2,2
Richard Bright,Frank Sivero,2,2
Richard Bright,Filomena Spagnuolo,2,2
Richard Bright,Joe Spinell,2,2
Richard Bright,Nick Vallelonga,1,1
Richard Bright,Robert De Niro,1,1
Richard Bright,Harry Dean Stanton,1,1
Richard Bright,Danny Aiello,1,1
Richard Bright,Roger Corman,1,1
Richard Bright,Alan Lee,1,1
Richard Bright,Arthur Tovey,1,1
Tere Livrano,Julie Gregg,2,2
Tere Livrano,Italia Coppola,2,2
Tere Livrano,Roman Coppola,2,2
Tere Livrano,Sofia Coppola,2,2
Tere Livrano,Ron Gilbert,1,1
Tere Livrano,Joe Lo Grippo,2,2
Tere Livrano,Tony Lip,1,1
Tere Livrano,Joseph Medaglia,2,2
Tere Livrano,Tom Rosqui,2,2
