Id,Label,Genre
The Shawshank Redemption,The Shawshank Redemption,movie
The Godfather,The Godfather,movie
The Godfather: Part II,The Godfather: Part II,movie
The Dark Knight,The Dark Knight,movie
12 Angry Men,12 Angry Men,movie
Schindler's List,Schindler's List,movie
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,movie
Pulp Fiction,Pulp Fiction,movie
"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly",movie
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,movie
Fight Club,Fight Club,movie
Forrest Gump,Forrest Gump,movie
Inception,Inception,movie
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,movie
Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,movie
The Matrix,The Matrix,movie
Goodfellas,Goodfellas,movie
One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,movie
Seven Samurai,Seven Samurai,movie
Se7en,Se7en,movie
The Silence of the Lambs,The Silence of the Lambs,movie
City of God,City of God,movie
Life Is Beautiful,Life Is Beautiful,movie
It's a Wonderful Life,It's a Wonderful Life,movie
Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope,movie
Saving Private Ryan,Saving Private Ryan,movie
Interstellar,Interstellar,movie
Spirited Away,Spirited Away,movie
The Green Mile,The Green Mile,movie
Parasite,Parasite,movie
Léon: The Professional,Léon: The Professional,movie
Hara-Kiri,Hara-Kiri,movie
The Pianist,The Pianist,movie
Terminator 2: Judgment Day,Terminator 2: Judgment Day,movie
Back to the Future,Back to the Future,movie
The Usual Suspects,The Usual Suspects,movie
Psycho,Psycho,movie
The Lion King,The Lion King,movie
Modern Times,Modern Times,movie
American History X,American History X,movie
Grave of the Fireflies,Grave of the Fireflies,movie
City Lights,City Lights,movie
Whiplash,Whiplash,movie
Gladiator,Gladiator,movie
The Departed,The Departed,movie
The Intouchables,The Intouchables,movie
The Prestige,The Prestige,movie
Casablanca,Casablanca,movie
Once Upon a Time in the West,Once Upon a Time in the West,movie
Rear Window,Rear Window,movie
Frank Darabont,Frank Darabont,director
Francis Ford Coppola,Francis Ford Coppola,director
Christopher Nolan,Christopher Nolan,director
Sidney Lumet,Sidney Lumet,director
Steven Spielberg,Steven Spielberg,director
Quentin Tarantino,Quentin Tarantino,director
Sergio Leone,Sergio Leone,director
David Fincher,David Fincher,director
Robert Zemeckis,Robert Zemeckis,director
Irvin Kershner,Irvin Kershner,director
Lana Wachowski-Lilly Wachowski,Lana Wachowski-Lilly Wachowski,director
Martin Scorsese,Martin Scorsese,director
Milos Forman,Milos Forman,director
Akira Kurosawa,Akira Kurosawa,director
Jonathan Demme,Jonathan Demme,director
Fernando Meirelles-Kátia Lund,Fernando Meirelles-Kátia Lund,director
Roberto Benigni,Roberto Benigni,director
Frank Capra,Frank Capra,director
George Lucas,George Lucas,director
Hayao Miyazaki,Hayao Miyazaki,director
Bong Joon Ho,Bong Joon Ho,director
Luc Besson,Luc Besson,director
Masaki Kobayashi,Masaki Kobayashi,director
Roman Polanski,Roman Polanski,director
James Cameron,James Cameron,director
Bryan Singer,Bryan Singer,director
Roger Allers-Rob Minkoff,Roger Allers-Rob Minkoff,director
Tony Kaye,Tony Kaye,director
Isao Takahata,Isao Takahata,director
