Source,Target,Weight
The Shawshank Redemption,Frank Darabont,1
The Godfather,Francis Ford Coppola,1
The Godfather: Part II,Francis Ford Coppola,1
The Dark Knight,Christopher Nolan,1
12 Angry Men,Sidney Lumet,1
Schindler's List,Steven Spielberg,1
The Lord of the Rings: The Return of the King,Peter Jackson,1
Pulp Fiction,Quentin Tarantino,1
"The Good, the Bad and the Ugly",Sergio Leone,1
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,1
Fight Club,David Fincher,1
Forrest Gump,Robert Zemeckis,1
Inception,Christopher Nolan,1
The Lord of the Rings: The Two Towers,Peter Jackson,1
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,1
The Matrix,Lana Wachowski-Lilly Wachowski,1
Goodfellas,Martin Scorsese,1
One Flew Over the Cuckoo's Nest,Milos Forman,1
Seven Samurai,Akira Kurosawa,1
Se7en,David Fincher,1
The Silence of the Lambs,Jonathan Demme,1
City of God,Fernando Meirelles-Kátia Lund,1
Life Is Beautiful,Roberto Benigni,1
It's a Wonderful Life,Frank Capra,1
Star Wars: Episode IV - A New Hope,George Lucas,1
Saving Private Ryan,Steven Spielberg,1
Interstellar,Christopher Nolan,1
Spirited Away,Hayao Miyazaki,1
The Green Mile,Frank Darabont,1
Parasite,Bong Joon Ho,1
Léon: The Professional,Luc Besson,1
Hara-Kiri,Masaki Kobayashi,1
The Pianist,Roman Polanski,1
Terminator 2: Judgment Day,James Cameron,1
Back to the Future,Robert Zemeckis,1
The Usual Suspects,Bryan Singer,1
Psycho,Alfred Hitchcock,1
The Lion King,Roger Allers-Rob Minkoff,1
Modern Times,Charles Chaplin,1
American History X,Tony Kaye,1
Grave of the Fireflies,Isao Takahata,1
City Lights,Charles Chaplin,1
Whiplash,Damien Chazelle,1
Gladiator,Ridley Scott,1
The Departed,Martin Scorsese,1
The Intouchables,Olivier Nakache-Éric Toledano,1
The Prestige,Christopher Nolan,1
Casablanca,Michael Curtiz,1
Once Upon a Time in the West,Sergio Leone,1
Rear Window,Alfred Hitchcock,1
The Shawshank Redemption,Morgan Freeman,1
