Id,Label
The Shawshank Redemption,The Shawshank Redemption
The Godfather,The Godfather
The Godfather: Part II,The Godfather: Part II
The Dark Knight,The Dark Knight
12 Angry Men,12 Angry Men
Schindler's List,Schindler's List
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
Pulp Fiction,Pulp Fiction
"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly"
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring
Fight Club,Fight Club
Forrest Gump,Forrest Gump
Inception,Inception
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers
Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back
The Matrix,The Matrix
Goodfellas,Goodfellas
One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest
Seven Samurai,Seven Samurai
Se7en,Se7en
The Silence of the Lambs,The Silence of the Lambs
City of God,City of God
Life Is Beautiful,Life Is Beautiful
It's a Wonderful Life,It's a Wonderful Life
Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope
Saving Private Ryan,Saving Private Ryan
Interstellar,Interstellar
Spirited Away,Spirited Away
The Green Mile,The Green Mile
Parasite,Parasite
Léon: The Professional,Léon: The Professional
Hara-Kiri,Hara-Kiri
The Pianist,The Pianist
Terminator 2: Judgment Day,Terminator 2: Judgment Day
Back to the Future,Back to the Future
The Usual Suspects,The Usual Suspects
Psycho,Psycho
The Lion King,The Lion King
Modern Times,Modern Times
American History X,American History X
Grave of the Fireflies,Grave of the Fireflies
City Lights,City Lights
Whiplash,Whiplash
Gladiator,Gladiator
The Departed,The Departed
The Intouchables,The Intouchables
The Prestige,The Prestige
Casablanca,Casablanca
Once Upon a Time in the West,Once Upon a Time in the West
Rear Window,Rear Window
